index,German,IPA,English,Topic
317,wirklich kariert,/virkliç kariːrt/,really checked,07 Clothes and Personal Appearance
318,über der Anzug sprechen,/yber der antsug spreçen/,to talk about suit,07 Clothes and Personal Appearance
319,über die Größe ist wichtig sprechen,/yber diː grøse ist viçtig spreçen/,to talk about the size is important,07 Clothes and Personal Appearance
320,über die Jacke ist wichtig sprechen,/yber diː jacke ist viçtig spreçen/,to talk about the jacket is important,07 Clothes and Personal Appearance
321,über der Mantel ist wichtig sprechen,/yber der mantel ist viçtig spreçen/,to talk about the coat is important,07 Clothes and Personal Appearance
322,über der Anzug ist wichtig sprechen,/yber der antsug ist viçtig spreçen/,to talk about the suit is important,07 Clothes and Personal Appearance
323,über das Kleid ist wichtig sprechen,/yber das klaɪd ist viçtig spreçen/,to talk about the dress is important,07 Clothes and Personal Appearance
324,über die Bluse ist wichtig sprechen,/yber diː bluse ist viçtig spreçen/,to talk about the blouse is important,07 Clothes and Personal Appearance
325,über der Pullover ist wichtig sprechen,/yber der pullover ist viçtig spreçen/,to talk about the sweater is important,07 Clothes and Personal Appearance
326,über das Muster sprechen,/yber das muster spreçen/,to talk about pattern,07 Clothes and Personal Appearance
327,über der Stoff sprechen,/yber der stoff spreçen/,to talk about fabric,07 Clothes and Personal Appearance
328,über die Umkleidekabine sprechen,/yber diː umklaɪdekabine spreçen/,to talk about changing room,07 Clothes and Personal Appearance
329,stehen können,/stehen kønnen/,to be able to suit,07 Clothes and Personal Appearance
330,über das Aussehen sprechen,/yber das aʊssehen spreçen/,to talk about appearance,07 Clothes and Personal Appearance
331,über die Frisur sprechen,/yber diː frisur spreçen/,to talk about hairstyle,07 Clothes and Personal Appearance
332,gut aussehen können,/gut aʊssehen kønnen/,to be able to look good,07 Clothes and Personal Appearance
333,wirklich eine Größe größer,/virkliç aɪne grøse grøser/,really one size larger,07 Clothes and Personal Appearance
334,über die Kleidung sprechen,/yber diː klaɪduŋ spreçen/,to talk about clothing,07 Clothes and Personal Appearance
335,über die Farbe sprechen,/yber diː farbe spreçen/,to talk about color,07 Clothes and Personal Appearance
336,die Erkältung,/diː erkɛltuŋ/,cold,08 Health and Symptoms
337,die Schmerzen,/diː ʃmertsen/,pain,08 Health and Symptoms
338,die Halsschmerzen,/diː halsʃmertsen/,sore throat,08 Health and Symptoms
339,sich verletzen,/siç verlettsen/,to get injured,08 Health and Symptoms
340,schwindelig,/ʃvindelig/,dizzy,08 Health and Symptoms
341,sich erholen,/siç erholen/,to recover,08 Health and Symptoms
342,wehtun,/vehtun/,to hurt,08 Health and Symptoms
343,husten,/husten/,to cough,08 Health and Symptoms
344,niesen,/niːsen/,to sneeze,08 Health and Symptoms
345,die Erkältung ist wichtig,/diː erkɛltuŋ ist viçtig/,the cold is important,08 Health and Symptoms
346,der Husten ist wichtig,/der husten ist viçtig/,the cough is important,08 Health and Symptoms
347,das Fieber ist wichtig,/das fiːber ist viçtig/,the fever is important,08 Health and Symptoms
348,die Schmerzen ist wichtig,/diː ʃmertsen ist viçtig/,the pain is important,08 Health and Symptoms
349,die Kopfschmerzen ist wichtig,/diː kopfʃmertsen ist viçtig/,the headache is important,08 Health and Symptoms
350,die Halsschmerzen ist wichtig,/diː halsʃmertsen ist viçtig/,the sore throat is important,08 Health and Symptoms
351,die Verletzung im Alltag,/diː verlettsuŋ im alltag/,injury in everyday life,08 Health and Symptoms
352,die Allergie im Alltag,/diː allergiː im alltag/,allergy in everyday life,08 Health and Symptoms
353,der Ausschlag,/der aʊsʃlag/,rash,08 Health and Symptoms
354,schwach,/ʃvaç/,weak,08 Health and Symptoms
355,besser werden,/besser verden/,to get better,08 Health and Symptoms
356,sich erkälten,/siç erkɛlten/,to catch a cold,08 Health and Symptoms
357,sich ausruhen im Alltag,/siç aʊsruhen im alltag/,to rest in everyday life,08 Health and Symptoms
358,Fieber haben,/fiːber haben/,to have a fever,08 Health and Symptoms
359,die Beschwerde,/diː beʃverde/,symptom / complaint,08 Health and Symptoms
360,über die Erkältung sprechen,/yber diː erkɛltuŋ spreçen/,to talk about cold,08 Health and Symptoms
361,über die Schmerzen sprechen,/yber diː ʃmertsen spreçen/,to talk about pain,08 Health and Symptoms
362,über die Halsschmerzen sprechen,/yber diː halsʃmertsen spreçen/,to talk about sore throat,08 Health and Symptoms
363,sich verletzen können,/siç verlettsen kønnen/,to be able to get injured,08 Health and Symptoms
364,wirklich schwindelig,/virkliç ʃvindelig/,really dizzy,08 Health and Symptoms
365,sich erholen können,/siç erholen kønnen/,to be able to recover,08 Health and Symptoms
366,wehtun können,/vehtun kønnen/,to be able to hurt,08 Health and Symptoms
367,husten können,/husten kønnen/,to be able to cough,08 Health and Symptoms
368,niesen können,/niːsen kønnen/,to be able to sneeze,08 Health and Symptoms
369,über die Erkältung ist wichtig sprechen,/yber diː erkɛltuŋ ist viçtig spreçen/,to talk about the cold is important,08 Health and Symptoms
370,über der Husten ist wichtig sprechen,/yber der husten ist viçtig spreçen/,to talk about the cough is important,08 Health and Symptoms
371,über das Fieber ist wichtig sprechen,/yber das fiːber ist viçtig spreçen/,to talk about the fever is important,08 Health and Symptoms
372,über die Schmerzen ist wichtig sprechen,/yber diː ʃmertsen ist viçtig spreçen/,to talk about the pain is important,08 Health and Symptoms
373,über die Kopfschmerzen ist wichtig sprechen,/yber diː kopfʃmertsen ist viçtig spreçen/,to talk about the headache is important,08 Health and Symptoms
374,über die Halsschmerzen ist wichtig sprechen,/yber diː halsʃmertsen ist viçtig spreçen/,to talk about the sore throat is important,08 Health and Symptoms
375,über die Verletzung sprechen,/yber diː verlettsuŋ spreçen/,to talk about injury,08 Health and Symptoms
376,über die Allergie sprechen,/yber diː allergiː spreçen/,to talk about allergy,08 Health and Symptoms
377,über der Ausschlag sprechen,/yber der aʊsʃlag spreçen/,to talk about rash,08 Health and Symptoms
378,wirklich schwach,/virkliç ʃvaç/,really weak,08 Health and Symptoms
379,besser werden können,/besser verden kønnen/,to be able to get better,08 Health and Symptoms
380,sich erkälten können,/siç erkɛlten kønnen/,to be able to catch a cold,08 Health and Symptoms
381,sich ausruhen können,/siç aʊsruhen kønnen/,to be able to rest,08 Health and Symptoms
382,Fieber haben können,/fiːber haben kønnen/,to be able to have a fever,08 Health and Symptoms
383,über die Beschwerde sprechen,/yber diː beʃverde spreçen/,to talk about symptom / complaint,08 Health and Symptoms
384,die Sprechstunde,/diː spreçstunde/,consultation hours,09 Doctor Pharmacy and Healthcare
385,verschreiben,/verʃraɪben/,to prescribe,09 Doctor Pharmacy and Healthcare
386,einnehmen,/aɪnnehmen/,to take medicine,09 Doctor Pharmacy and Healthcare
387,die Behandlung,/diː behandluŋ/,treatment,09 Doctor Pharmacy and Healthcare
388,behandeln,/behandeln/,to treat,09 Doctor Pharmacy and Healthcare
389,die Untersuchung ist wichtig,/diː untersuçuŋ ist viçtig/,the examination is important,09 Doctor Pharmacy and Healthcare
390,das Medikament ist wichtig,/das medikament ist viçtig/,the medication is important,09 Doctor Pharmacy and Healthcare
391,die Tablette ist wichtig,/diː tablette ist viçtig/,the tablet is important,09 Doctor Pharmacy and Healthcare
392,die Salbe ist wichtig,/diː salbe ist viçtig/,the ointment is important,09 Doctor Pharmacy and Healthcare
393,die Apotheke ist wichtig,/diː apotheke ist viçtig/,the pharmacy is important,09 Doctor Pharmacy and Healthcare
394,die Krankenversicherung ist wichtig,/diː krankenversiçeruŋ ist viçtig/,the health insurance is important,09 Doctor Pharmacy and Healthcare
395,der Termin ist wichtig,/der termin ist viçtig/,the appointment is important,09 Doctor Pharmacy and Healthcare
396,die Sprechstunde ist wichtig,/diː spreçstunde ist viçtig/,the consultation hours is important,09 Doctor Pharmacy and Healthcare
397,die Behandlung ist wichtig,/diː behandluŋ ist viçtig/,the treatment is important,09 Doctor Pharmacy and Healthcare
398,der Notfall ist wichtig,/der notfall ist viçtig/,the emergency is important,09 Doctor Pharmacy and Healthcare
399,die Praxis ist wichtig,/diː praxis ist viçtig/,the medical practice is important,09 Doctor Pharmacy and Healthcare
400,die Überweisung,/diː ybervaɪsuŋ/,referral,09 Doctor Pharmacy and Healthcare
401,der Patient,/der patiːnt/,patient,09 Doctor Pharmacy and Healthcare
402,die Patientin,/diː patiːntin/,patient,09 Doctor Pharmacy and Healthcare
403,die Dosis,/diː dosis/,dose,09 Doctor Pharmacy and Healthcare
404,die Nebenwirkung,/diː nebenvirkuŋ/,side effect,09 Doctor Pharmacy and Healthcare
405,die Krankenkasse,/diː krankenkasse/,health insurer,09 Doctor Pharmacy and Healthcare
406,einen Termin vereinbaren,/aɪnen termin veraɪnbaren/,to make an appointment,09 Doctor Pharmacy and Healthcare
407,Medikamente nehmen,/medikamente nehmen/,to take medication,09 Doctor Pharmacy and Healthcare
408,über die Sprechstunde sprechen,/yber diː spreçstunde spreçen/,to talk about consultation hours,09 Doctor Pharmacy and Healthcare
409,verschreiben können,/verʃraɪben kønnen/,to be able to prescribe,09 Doctor Pharmacy and Healthcare
410,einnehmen können,/aɪnnehmen kønnen/,to be able to take medicine,09 Doctor Pharmacy and Healthcare
411,über die Behandlung sprechen,/yber diː behandluŋ spreçen/,to talk about treatment,09 Doctor Pharmacy and Healthcare
412,behandeln können,/behandeln kønnen/,to be able to treat,09 Doctor Pharmacy and Healthcare
413,über die Untersuchung ist wichtig sprechen,/yber diː untersuçuŋ ist viçtig spreçen/,to talk about the examination is important,09 Doctor Pharmacy and Healthcare
414,über das Medikament ist wichtig sprechen,/yber das medikament ist viçtig spreçen/,to talk about the medication is important,09 Doctor Pharmacy and Healthcare
415,über die Tablette ist wichtig sprechen,/yber diː tablette ist viçtig spreçen/,to talk about the tablet is important,09 Doctor Pharmacy and Healthcare
416,über die Salbe ist wichtig sprechen,/yber diː salbe ist viçtig spreçen/,to talk about the ointment is important,09 Doctor Pharmacy and Healthcare
417,über die Apotheke ist wichtig sprechen,/yber diː apotheke ist viçtig spreçen/,to talk about the pharmacy is important,09 Doctor Pharmacy and Healthcare
418,über die Krankenversicherung ist wichtig sprechen,/yber diː krankenversiçeruŋ ist viçtig spreçen/,to talk about the health insurance is important,09 Doctor Pharmacy and Healthcare
419,über der Termin ist wichtig sprechen,/yber der termin ist viçtig spreçen/,to talk about the appointment is important,09 Doctor Pharmacy and Healthcare
420,über die Sprechstunde ist wichtig sprechen,/yber diː spreçstunde ist viçtig spreçen/,to talk about the consultation hours is important,09 Doctor Pharmacy and Healthcare
421,über die Behandlung ist wichtig sprechen,/yber diː behandluŋ ist viçtig spreçen/,to talk about the treatment is important,09 Doctor Pharmacy and Healthcare
422,über der Notfall ist wichtig sprechen,/yber der notfall ist viçtig spreçen/,to talk about the emergency is important,09 Doctor Pharmacy and Healthcare
423,über die Praxis ist wichtig sprechen,/yber diː praxis ist viçtig spreçen/,to talk about the medical practice is important,09 Doctor Pharmacy and Healthcare
424,über die Überweisung sprechen,/yber diː ybervaɪsuŋ spreçen/,to talk about referral,09 Doctor Pharmacy and Healthcare
425,über der Patient sprechen,/yber der patiːnt spreçen/,to talk about patient,09 Doctor Pharmacy and Healthcare
426,über die Patientin sprechen,/yber diː patiːntin spreçen/,to talk about patient,09 Doctor Pharmacy and Healthcare
427,über die Dosis sprechen,/yber diː dosis spreçen/,to talk about dose,09 Doctor Pharmacy and Healthcare
428,über die Nebenwirkung sprechen,/yber diː nebenvirkuŋ spreçen/,to talk about side effect,09 Doctor Pharmacy and Healthcare
429,über die Krankenkasse sprechen,/yber diː krankenkasse spreçen/,to talk about health insurer,09 Doctor Pharmacy and Healthcare
430,einen Termin vereinbaren können,/aɪnen termin veraɪnbaren kønnen/,to be able to make an appointment,09 Doctor Pharmacy and Healthcare
431,Medikamente nehmen können,/medikamente nehmen kønnen/,to be able to take medication,09 Doctor Pharmacy and Healthcare
432,das Vorstellungsgespräch,/das vorstelluŋsgesprɛç/,job interview,10 Work and Professions
433,der Arbeitgeber,/der arbaɪtgeber/,employer,10 Work and Professions
434,der Arbeitnehmer,/der arbaɪtnehmer/,employee,10 Work and Professions
435,das Gehalt,/das gehalt/,salary,10 Work and Professions
436,die Erfahrung,/diː erfahruŋ/,experience,10 Work and Professions
437,die Fähigkeit,/diː fɛhigkaɪt/,skill,10 Work and Professions
438,die Ausbildung,/diː aʊsbilduŋ/,training,10 Work and Professions
439,der Vertrag,/der vertrag/,contract,10 Work and Professions
440,kündigen,/kyndigen/,to resign,10 Work and Professions
441,einstellen,/aɪnstellen/,to hire,10 Work and Professions
442,beruflich,/berufliç/,professional,10 Work and Professions
443,selbstständig,/selbststɛndig/,self-employed,10 Work and Professions
444,die Stelle ist wichtig,/diː stelle ist viçtig/,the position is important,10 Work and Professions
445,die Bewerbung ist wichtig,/diː beverbuŋ ist viçtig/,the application is important,10 Work and Professions
446,der Lebenslauf ist wichtig,/der lebenslaʊf ist viçtig/,the CV is important,10 Work and Professions
447,das Vorstellungsgespräch ist wichtig,/das vorstelluŋsgesprɛç ist viçtig/,the job interview is important,10 Work and Professions
448,die Arbeitszeit,/diː arbaɪtstsaɪt/,working hours,10 Work and Professions
449,die Vollzeit,/diː volltsaɪt/,full-time,10 Work and Professions
450,die Teilzeit,/diː taɪltsaɪt/,part-time,10 Work and Professions
451,die Voraussetzung,/diː voraʊssettsuŋ/,requirement,10 Work and Professions
452,die Karriere,/diː karriːre/,career,10 Work and Professions
453,die Tätigkeit,/diː tɛtigkaɪt/,activity / job,10 Work and Professions
454,arbeitslos,/arbaɪtslos/,unemployed,10 Work and Professions
455,sich um eine Stelle bewerben,/siç um aɪne stelle beverben/,to apply for a job,10 Work and Professions
456,über das Vorstellungsgespräch sprechen,/yber das vorstelluŋsgesprɛç spreçen/,to talk about job interview,10 Work and Professions
457,über der Arbeitgeber sprechen,/yber der arbaɪtgeber spreçen/,to talk about employer,10 Work and Professions
458,über der Arbeitnehmer sprechen,/yber der arbaɪtnehmer spreçen/,to talk about employee,10 Work and Professions
459,über das Gehalt sprechen,/yber das gehalt spreçen/,to talk about salary,10 Work and Professions
460,über die Erfahrung sprechen,/yber diː erfahruŋ spreçen/,to talk about experience,10 Work and Professions
461,über die Fähigkeit sprechen,/yber diː fɛhigkaɪt spreçen/,to talk about skill,10 Work and Professions
462,über die Ausbildung sprechen,/yber diː aʊsbilduŋ spreçen/,to talk about training,10 Work and Professions
463,über der Vertrag sprechen,/yber der vertrag spreçen/,to talk about contract,10 Work and Professions
464,kündigen können,/kyndigen kønnen/,to be able to resign,10 Work and Professions
465,einstellen können,/aɪnstellen kønnen/,to be able to hire,10 Work and Professions
466,wirklich beruflich,/virkliç berufliç/,really professional,10 Work and Professions
467,wirklich selbstständig,/virkliç selbststɛndig/,really self-employed,10 Work and Professions
468,über die Stelle ist wichtig sprechen,/yber diː stelle ist viçtig spreçen/,to talk about the position is important,10 Work and Professions
469,über die Bewerbung ist wichtig sprechen,/yber diː beverbuŋ ist viçtig spreçen/,to talk about the application is important,10 Work and Professions
470,über der Lebenslauf ist wichtig sprechen,/yber der lebenslaʊf ist viçtig spreçen/,to talk about the CV is important,10 Work and Professions
471,über das Vorstellungsgespräch ist wichtig sprechen,/yber das vorstelluŋsgesprɛç ist viçtig spreçen/,to talk about the job interview is important,10 Work and Professions
472,über die Arbeitszeit sprechen,/yber diː arbaɪtstsaɪt spreçen/,to talk about working hours,10 Work and Professions
473,über die Vollzeit sprechen,/yber diː volltsaɪt spreçen/,to talk about full-time,10 Work and Professions
474,über die Teilzeit sprechen,/yber diː taɪltsaɪt spreçen/,to talk about part-time,10 Work and Professions
475,über die Voraussetzung sprechen,/yber diː voraʊssettsuŋ spreçen/,to talk about requirement,10 Work and Professions
476,über die Karriere sprechen,/yber diː karriːre spreçen/,to talk about career,10 Work and Professions
477,über die Tätigkeit sprechen,/yber diː tɛtigkaɪt spreçen/,to talk about activity / job,10 Work and Professions
478,wirklich arbeitslos,/virkliç arbaɪtslos/,really unemployed,10 Work and Professions
479,sich um eine Stelle bewerben können,/siç um aɪne stelle beverben kønnen/,to be able to apply for a job,10 Work and Professions
480,die Besprechung,/diː bespreçuŋ/,meeting,11 Workplace Communication
481,die Abteilung,/diː abtaɪluŋ/,department,11 Workplace Communication
482,die Schicht,/diː ʃiçt/,shift,11 Workplace Communication
483,zuständig,/tsustɛndig/,responsible,11 Workplace Communication
484,teilnehmen,/taɪlnehmen/,to participate,11 Workplace Communication
485,berichten,/beriçten/,to report,11 Workplace Communication
486,besprechen,/bespreçen/,to discuss,11 Workplace Communication
487,die Besprechung ist wichtig,/diː bespreçuŋ ist viçtig/,the meeting is important,11 Workplace Communication
488,die Aufgabe ist wichtig,/diː aʊfgabe ist viçtig/,the task is important,11 Workplace Communication
489,der Kollege ist wichtig,/der kollege ist viçtig/,the colleague is important,11 Workplace Communication
490,die Kollegin ist wichtig,/diː kollegin ist viçtig/,the colleague is important,11 Workplace Communication
491,die Abteilung ist wichtig,/diː abtaɪluŋ ist viçtig/,the department is important,11 Workplace Communication
492,der Chef ist wichtig,/der çef ist viçtig/,the boss is important,11 Workplace Communication
493,die Chefin ist wichtig,/diː çefin ist viçtig/,the boss is important,11 Workplace Communication
494,die Pause ist wichtig,/diː paʊse ist viçtig/,the break is important,11 Workplace Communication
495,die Schicht ist wichtig,/diː ʃiçt ist viçtig/,the shift is important,11 Workplace Communication
496,die Frist,/diː frist/,deadline,11 Workplace Communication
497,die Rückmeldung,/diː ryckmelduŋ/,feedback,11 Workplace Communication
498,der Arbeitsplatz,/der arbaɪtsplatts/,workplace,11 Workplace Communication
499,die Arbeitsgruppe,/diː arbaɪtsgruppe/,work group,11 Workplace Communication
500,weiterleiten,/vaɪterlaɪten/,to forward,11 Workplace Communication
501,erledigt,/erledigt/,completed,11 Workplace Communication
502,eine Aufgabe übernehmen,/aɪne aʊfgabe ybernehmen/,to take on a task,11 Workplace Communication
503,an einer Besprechung teilnehmen,/an aɪner bespreçuŋ taɪlnehmen/,to attend a meeting,11 Workplace Communication
504,über die Besprechung sprechen,/yber diː bespreçuŋ spreçen/,to talk about meeting,11 Workplace Communication
505,über die Abteilung sprechen,/yber diː abtaɪluŋ spreçen/,to talk about department,11 Workplace Communication
506,über die Schicht sprechen,/yber diː ʃiçt spreçen/,to talk about shift,11 Workplace Communication
507,wirklich zuständig,/virkliç tsustɛndig/,really responsible,11 Workplace Communication
508,teilnehmen können,/taɪlnehmen kønnen/,to be able to participate,11 Workplace Communication
509,berichten können,/beriçten kønnen/,to be able to report,11 Workplace Communication
510,besprechen können,/bespreçen kønnen/,to be able to discuss,11 Workplace Communication
511,über die Besprechung ist wichtig sprechen,/yber diː bespreçuŋ ist viçtig spreçen/,to talk about the meeting is important,11 Workplace Communication
512,über die Aufgabe ist wichtig sprechen,/yber diː aʊfgabe ist viçtig spreçen/,to talk about the task is important,11 Workplace Communication
513,über der Kollege ist wichtig sprechen,/yber der kollege ist viçtig spreçen/,to talk about the colleague is important,11 Workplace Communication
514,über die Kollegin ist wichtig sprechen,/yber diː kollegin ist viçtig spreçen/,to talk about the colleague is important,11 Workplace Communication
515,über die Abteilung ist wichtig sprechen,/yber diː abtaɪluŋ ist viçtig spreçen/,to talk about the department is important,11 Workplace Communication
516,über der Chef ist wichtig sprechen,/yber der çef ist viçtig spreçen/,to talk about the boss is important,11 Workplace Communication
517,über die Chefin ist wichtig sprechen,/yber diː çefin ist viçtig spreçen/,to talk about the boss is important,11 Workplace Communication
518,über die Pause ist wichtig sprechen,/yber diː paʊse ist viçtig spreçen/,to talk about the break is important,11 Workplace Communication
519,über die Schicht ist wichtig sprechen,/yber diː ʃiçt ist viçtig spreçen/,to talk about the shift is important,11 Workplace Communication
520,über die Frist sprechen,/yber diː frist spreçen/,to talk about deadline,11 Workplace Communication
521,über die Rückmeldung sprechen,/yber diː ryckmelduŋ spreçen/,to talk about feedback,11 Workplace Communication
522,über der Arbeitsplatz sprechen,/yber der arbaɪtsplatts spreçen/,to talk about workplace,11 Workplace Communication
523,über die Arbeitsgruppe sprechen,/yber diː arbaɪtsgruppe spreçen/,to talk about work group,11 Workplace Communication
524,weiterleiten können,/vaɪterlaɪten kønnen/,to be able to forward,11 Workplace Communication
525,wirklich erledigt,/virkliç erledigt/,really completed,11 Workplace Communication
526,eine Aufgabe übernehmen können,/aɪne aʊfgabe ybernehmen kønnen/,to be able to take on a task,11 Workplace Communication
527,an einer Besprechung teilnehmen können,/an aɪner bespreçuŋ taɪlnehmen kønnen/,to be able to attend a meeting,11 Workplace Communication
528,bestehen,/bestehen/,to pass,12 Education and Learning
529,durchfallen,/durçfallen/,to fail,12 Education and Learning
530,die Note,/diː note/,grade,12 Education and Learning
531,die Lösung,/diː løsuŋ/,solution,12 Education and Learning
532,sich vorbereiten,/siç vorberaɪten/,to prepare,12 Education and Learning
533,verbessern,/verbessern/,to improve,12 Education and Learning
534,die Kenntnisse,/diː kenntnisse/,knowledge,12 Education and Learning
535,die Prüfung ist wichtig,/diː pryfuŋ ist viçtig/,the exam is important,12 Education and Learning
536,die Note ist wichtig,/diː note ist viçtig/,the grade is important,12 Education and Learning
537,der Unterricht ist wichtig,/der unterriçt ist viçtig/,the lesson is important,12 Education and Learning
538,die Hausaufgabe ist wichtig,/diː haʊsaʊfgabe ist viçtig/,the homework is important,12 Education and Learning
539,die Lösung ist wichtig,/diː løsuŋ ist viçtig/,the solution is important,12 Education and Learning
540,die Kenntnisse ist wichtig,/diː kenntnisse ist viçtig/,the knowledge is important,12 Education and Learning
541,der Kurs ist wichtig,/der kurs ist viçtig/,the course is important,12 Education and Learning
542,die Anmeldung,/diː anmelduŋ/,registration,12 Education and Learning
543,sich anmelden,/siç anmelden/,to register,12 Education and Learning
544,das Fach,/das faç/,subject,12 Education and Learning
545,das Semester,/das semester/,semester,12 Education and Learning
546,die Weiterbildung,/diː vaɪterbilduŋ/,further training,12 Education and Learning
547,Fortschritte machen,/fortʃritte maçen/,to make progress,12 Education and Learning
548,eine Prüfung bestehen,/aɪne pryfuŋ bestehen/,to pass an exam,12 Education and Learning
549,sich auf eine Prüfung vorbereiten,/siç aʊf aɪne pryfuŋ vorberaɪten/,to prepare for an exam,12 Education and Learning
550,der Lernstoff,/der lernstoff/,study material,12 Education and Learning
551,das Zertifikat,/das tsertifikat/,certificate,12 Education and Learning
552,bestehen können,/bestehen kønnen/,to be able to pass,12 Education and Learning
553,durchfallen können,/durçfallen kønnen/,to be able to fail,12 Education and Learning
554,über die Note sprechen,/yber diː note spreçen/,to talk about grade,12 Education and Learning
555,über die Lösung sprechen,/yber diː løsuŋ spreçen/,to talk about solution,12 Education and Learning
556,sich vorbereiten können,/siç vorberaɪten kønnen/,to be able to prepare,12 Education and Learning
557,verbessern können,/verbessern kønnen/,to be able to improve,12 Education and Learning
558,über die Kenntnisse sprechen,/yber diː kenntnisse spreçen/,to talk about knowledge,12 Education and Learning
559,über die Prüfung ist wichtig sprechen,/yber diː pryfuŋ ist viçtig spreçen/,to talk about the exam is important,12 Education and Learning
560,über die Note ist wichtig sprechen,/yber diː note ist viçtig spreçen/,to talk about the grade is important,12 Education and Learning
561,über der Unterricht ist wichtig sprechen,/yber der unterriçt ist viçtig spreçen/,to talk about the lesson is important,12 Education and Learning
562,über die Hausaufgabe ist wichtig sprechen,/yber diː haʊsaʊfgabe ist viçtig spreçen/,to talk about the homework is important,12 Education and Learning
563,über die Lösung ist wichtig sprechen,/yber diː løsuŋ ist viçtig spreçen/,to talk about the solution is important,12 Education and Learning
564,über die Kenntnisse ist wichtig sprechen,/yber diː kenntnisse ist viçtig spreçen/,to talk about the knowledge is important,12 Education and Learning
565,über der Kurs ist wichtig sprechen,/yber der kurs ist viçtig spreçen/,to talk about the course is important,12 Education and Learning
566,über die Anmeldung sprechen,/yber diː anmelduŋ spreçen/,to talk about registration,12 Education and Learning
567,sich anmelden können,/siç anmelden kønnen/,to be able to register,12 Education and Learning
568,über das Fach sprechen,/yber das faç spreçen/,to talk about subject,12 Education and Learning
569,über das Semester sprechen,/yber das semester spreçen/,to talk about semester,12 Education and Learning
570,über die Weiterbildung sprechen,/yber diː vaɪterbilduŋ spreçen/,to talk about further training,12 Education and Learning
571,Fortschritte machen können,/fortʃritte maçen kønnen/,to be able to make progress,12 Education and Learning
572,eine Prüfung bestehen können,/aɪne pryfuŋ bestehen kønnen/,to be able to pass an exam,12 Education and Learning
573,sich auf eine Prüfung vorbereiten können,/siç aʊf aɪne pryfuŋ vorberaɪten kønnen/,to be able to prepare for an exam,12 Education and Learning
574,über der Lernstoff sprechen,/yber der lernstoff spreçen/,to talk about study material,12 Education and Learning
575,über das Zertifikat sprechen,/yber das tsertifikat spreçen/,to talk about certificate,12 Education and Learning
576,die Unterkunft,/diː unterkunft/,accommodation,13 Travel and Accommodation
577,stornieren,/storniːren/,to cancel,13 Travel and Accommodation
578,der Aufenthalt,/der aʊfenthalt/,stay,13 Travel and Accommodation
579,der Reisepass,/der raɪsepass/,passport,13 Travel and Accommodation
580,einchecken,/aɪnçecken/,to check in,13 Travel and Accommodation
581,auschecken,/aʊʃecken/,to check out,13 Travel and Accommodation
582,die Unterkunft ist wichtig,/diː unterkunft ist viçtig/,the accommodation is important,13 Travel and Accommodation
583,die Reservierung ist wichtig,/diː reserviːruŋ ist viçtig/,the reservation is important,13 Travel and Accommodation
584,die Rezeption ist wichtig,/diː retseption ist viçtig/,the reception is important,13 Travel and Accommodation
585,das Einzelzimmer ist wichtig,/das aɪntseltsimmer ist viçtig/,the single room is important,13 Travel and Accommodation
586,das Doppelzimmer ist wichtig,/das doppeltsimmer ist viçtig/,the double room is important,13 Travel and Accommodation
587,die Übernachtung ist wichtig,/diː ybernaçtuŋ ist viçtig/,the overnight stay is important,13 Travel and Accommodation
588,der Aufenthalt ist wichtig,/der aʊfenthalt ist viçtig/,the stay is important,13 Travel and Accommodation
589,der Reisepass ist wichtig,/der raɪsepass ist viçtig/,the passport is important,13 Travel and Accommodation
590,der Koffer ist wichtig,/der koffer ist viçtig/,the suitcase is important,13 Travel and Accommodation
591,das Gepäck ist wichtig,/das gepɛck ist viçtig/,the luggage is important,13 Travel and Accommodation
592,die Buchung,/diː buçuŋ/,booking,13 Travel and Accommodation
593,die Jugendherberge im Alltag,/diː jugendherberge im alltag/,youth hostel in everyday life,13 Travel and Accommodation
594,die Pension,/diː pension/,guesthouse,13 Travel and Accommodation
595,die Bestätigung,/diː bestɛtiguŋ/,confirmation,13 Travel and Accommodation
596,inklusive im Alltag,/inklusive im alltag/,included in everyday life,13 Travel and Accommodation
597,die Halbpension,/diː halbpension/,half board,13 Travel and Accommodation
598,ein Zimmer reservieren,/aɪn tsimmer reserviːren/,to reserve a room,13 Travel and Accommodation
599,Gepäck aufbewahren,/gepɛck aʊfbevahren/,to store luggage,13 Travel and Accommodation
600,über die Unterkunft sprechen,/yber diː unterkunft spreçen/,to talk about accommodation,13 Travel and Accommodation
601,stornieren können,/storniːren kønnen/,to be able to cancel,13 Travel and Accommodation
602,über der Aufenthalt sprechen,/yber der aʊfenthalt spreçen/,to talk about stay,13 Travel and Accommodation
603,über der Reisepass sprechen,/yber der raɪsepass spreçen/,to talk about passport,13 Travel and Accommodation
604,einchecken können,/aɪnçecken kønnen/,to be able to check in,13 Travel and Accommodation
605,auschecken können,/aʊʃecken kønnen/,to be able to check out,13 Travel and Accommodation
606,über die Unterkunft ist wichtig sprechen,/yber diː unterkunft ist viçtig spreçen/,to talk about the accommodation is important,13 Travel and Accommodation
607,über die Reservierung ist wichtig sprechen,/yber diː reserviːruŋ ist viçtig spreçen/,to talk about the reservation is important,13 Travel and Accommodation
608,über die Rezeption ist wichtig sprechen,/yber diː retseption ist viçtig spreçen/,to talk about the reception is important,13 Travel and Accommodation
